Job Title,Salary Estimation,Job Description,Rating,Company,Location,Size,Founded Date,Type of Ownership,Industry,Sector,Revenue,Website
Data Scientist,,"The data scientist utilizes machine learning to change the way we make and operate our world-class games. You will drive the design and implementation of end-to-end machine learning systems for production. The data scientist will work within the data science and analytics department; a centralized department that works with stakeholders throughout the company. As a data scientist, you are expecting to: Help to identify opportunities for machine learning in our products Own a machine learning system Query our petabyte-scale database to extract game data Conduct exploratory data analysis, hypothesis testing, and feature engineering Build and evaluate machine learning models to improve in-game features and boost product metrics",4.0,Kabam,Vancouver,501 to 1000 Employees,2006,Company - Private,Video Game,Media,$100 to $500 million (USD),http://www.kabam.com/
"Senior Software Engineer, Machine Learning Platform, Risk",$121K - $164K (Glassdoor Est.),"Company Description  Since we first opened our doors in 2009, the world of commerce has evolved immensely – and so has Square. After enabling anyone to take a payment and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together. So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book appointments, engage loyal buyers, and hire and pay staff. And across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow all in one place. Today, we’re a partner to sellers of all sizes – large, enterprise-scale businesses with complex commerce operations, sellers just starting out, as well as merchants who began selling with Square and have grown larger over time. As our sellers scale, so do our solutions. We all grow together. There is a massive opportunity in front of us. We’re building a business that is big, meaningful, and lasting. And we are helping sellers around the world do the same.",4.2,Square,Vancouver,5001 to 10000 Employees,2009,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),http://www.block.xyz/
Senior Data Scientist,$92K - $111K (Glassdoor Est.),"Come to work for Realtor.com! A leader in online real estate and backed by industry experience and the News-Corp Brand, Realtor.com's vision is to be the leading destination to discover and create your perfect home, and today millions of unique users visit our company's website and mobile apps monthly. What you can do at Realtor.com has the potential to touch people in a real and meaningful way. At realtor.com, we process terabytes of data everyday and transform that data into information that powers decisions for millions of home buyers, sellers, renters, dreamers, and real estate professionals. You'll engage with some of the best and the brightest co-workers and leaders, learn and contribute, and have a great time. If you enjoy working in a fast-paced, dynamic, cutting-edge work environment and desire to make a meaningful contribution to the business, then make the move! We seek a highly seasoned ML practitioner to join our Data Science - Machine Learning team and help take it to the next level. We use advanced ML to build recommender systems and matching models, search relevance & ranking systems, user personalizations and consumer segmentation models. We also leverage the latest advancements in deep learning on images and NLP to build rich, next-gen experiences for our users. As a key member of the team, you will be responsible for the development and deployment of innovative concepts, research, predictive modeling, and machine learning algorithms. You will also serve as a mentor for the junior members on the team and provide guidance on their projects.",3.6,realtor.com,Vancouver,1001 to 5000 Employees,1993,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.realtor.com/
Data Analyst,$59K - $81K (Glassdoor Est.),"We’d love to hear from you if you are looking for a tech company with the following: Huge market ($800 billion market size), we are building the first AI-powered super app to help people own a car; Innovative product with the combination of cutting edge mobile, AI and big data technologies; Open, transparent, merit-based culture; - Hyper growth - 10X revenue growth in 2020; Best user experience: #1 ranked app in the insurance comparison category; Strong leadership: from Amazon, Microsoft, Facebook, Nvidia, Alibaba, etc. and rockstar colleagues.  A few examples of the exciting projects that we are working on:",4.2,Jerry,Vancouver,51 to 200 Employees,2017,Company - Private,Insurance Agencies & Brokerage,Insurance,Unknown / Non-Applicable,http://www.getjerry.com/
Data Analyst,$68K - $70K (Glassdoor Est.),"Data Analyst Remote, Canada Infor® Point of Sale (POS) is designed for full- and quick-service restaurants, and managed food services in higher education, healthcare, corporate businesses, and more. The solution enables them to optimize operations, exceed guest expectations, and increase business insight. Hospitality providers can implement a variety of options—terminal, kiosk, tableside, poolside, and beyond—to serve guests virtually anywhere. As a Data Analyst on Infor’s POS team, you will ensure data integrity and maintain a high availability environment in support of Infor client’s critical outcome for food service delivery. Additionally, you will the assist team in making better business decisions by leveraging data and in turn provide powerful business insights to our customers. A Day in The Life Typically Includes:",3.9,Infor,Vancouver,10000+ Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),http://www.infor.com/
Machine Learning Engineer,,"Do what you love. Love what you do.  At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. About the Team This is an opportunity to be part of a growth team focused on building predictive capabilities into our products, and part of the next generation of Workday technology. We believe predictive products can be as transformative to the next generation of technology as mobile was to the last.",4.1,Workday,Vancouver,10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),http://www.workday.com/
Data Scientist II,,"Are you looking to join a tech company that can challenge and support you as you take the next step in your career? 3v Geomatics (3vG) provides a rare opportunity to be at the forefront of an emergent technology. We believe in developing everyone’s potential in a fun, passionate, and proactive environment that promotes open communication and a healthy work/life balance. We’re looking for a candidate to be a significant part of future growth because we believe the foundation of 3vG’s success is our employees. The Company 3vG is a fast-growing tech company based in Vancouver, British Columbia, which started in 2007. We employ state-of-the-art InSAR techniques to detect millimetric ground displacement using radar satellites 1000 km away. We strive to create products that will make a positive impact on people around the world.",,3v Geomatics,Vancouver,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,http://www.canaropa.com/
Machine Learning Developer (Full-time),,"Who we are: Motion Metrics International provides intelligent monitoring solutions for mining industry. It offers a suite of products to increase efficiency and safety of mining operations using cutting edge technologies in computer vision and machine learning. We are looking for a Machine Learning Developer who is passionate about solving challenging computer vision and machine learning problems in collaboration with other data scientists and developers. AI team members will be involved in various stages of algorithm development from research to production, which includes AI model development for embedded, edge and cloud environments. What you will do: Review the literature for the state-of-the-art computer vision and machine learning methodologies. Design and implement proprietary machine learning algorithms and optimize them based on runtime system requirements and constraints.",4.3,Motion Metrics International Corp.,Vancouver,51 to 200 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),http://www.motionmetrics.com/
Senior BI / Data Analyst,$66K - $72K (Glassdoor Est.),"Advert People make Sage great. From our colleagues delivering ground-breaking solutions to the customers who use them: people have helped us grow for more than thirty years, and people are driving our future as a great SaaS company. We're writing our next chapter. Be part of it!  At Sage, we recognize that the world of work has rapidly shifted over the last few years, particularly how we work. That is why we have committed to working in a hybrid way going forward. Human connection is an essential ingredient of the 4 principles that make up our Flexible Human Work hybrid framework and we want to be transparent in what that looks like when you join our Sage family. On one hand, our offices will continue to play an important role in our future and serve as a place for spontaneous conversations, connection, collaboration as well as focused time. On the other hand, we have learned to reimagine where and when we work and to unlock that flexibility and innovation for our colleagues offering them the opportunity to work flex across their home, Sage offices or customer sites.  We invite you to join us and help us write our next chapter. Follow us on our social media sites to join in conversations about open positions and company news! #lifeatsage #sagecareers. If you would like support with your application (or require any adjustments) please contact us at careers@sage.com for assistance. All qualified applicants will be thoughtfully considered and never discriminated against based on their race, color, age, religion, sexual orientation, gender identity, national origin, disability or veteran status.",4.1,Sage,Richmond,10000+ Employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),http://www.sage.com/
Sr Associate Machine Learning Engineer,,"Do what you love. Love what you do.  At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. About the Team Do what you love. Love what you do. At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. Job Description As one of our core values, we invest heavily in our people - the team hosts a diverse mix of technical talks and networking events, supports travel for conferences and speaking opportunities, and cultivates career-defining work through a focus on health and wellbeing that starts with an optimal blend of work/life balance. This is a place where you can thrive in a fun, people-first culture that creates an environment that enables you to succeed and do your best work. Join us as we change the way millions of people work. The Talent Optimization Machine Learning team at Workday is responsible for the architecture and development of the machine learning services powering a range of applications in the Human Capital Management (HCM) domain. Our work is a blend of large-scale data processing, battle-hardened machine learning methodology, and microservice design that places craftsmanship at the forefront of everything we do. Built on a backbone of startup DNA, we operate with a high degree of autonomy and strong sense of ownership.",4.1,Workday,Vancouver,10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),http://www.workday.com/
Senior Software Engineer (Machine Learning),,-1,4.4,Microsoft,Vancouver,-1,-1,-1,-1,-1,-1,-1
Data Scientist,,"Data Scientist (YVR) We are looking for a collaborative teammate to join our team, working with both Vancouver Product teams and the rest of the Data team, located in San Francisco and New York. The Data team works closely with our product, customer success, and/or sales teams; we help ask questions the right way, and then find those answers. We're hiring data scientists to join our Revenue and Land teams. You will contribute to our understanding with strategic analysis, support product execution by running and analyzing experiments, and build productionized models that help us make better decisions. What you'll achieve Designing and analyzing experiments to measure the impact of new product features, and inform our product roadmap",4.7,Asana,Vancouver,1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,https://asana.com/jobs
Director of Machine Learning,,"DarkVision's ultrasonic imaging technology creates the largest ultrasound datasets in the world. We need to detect millimeter sized defects in scans that can be many kilometers long. It is essential that we develop algorithms for automated detection, localization, classification, and visualization of these defects to increase efficiency and reliability of our data processing at scale. A unique aspect of our data is that we already have a large and exponentially growing number of data sets that have been pre-labelled by our data-analysis teams during the process of generating client deliverables (over a billion images from the real world). Beyond our internal R&D efforts, we also work very closely with top universities and industry partners in multiple research areas, including use of AI/ML, to accelerate our innovation cycle. As Director of Machine Learning, you will be responsible for building our Machine Learning strategy and overseeing the work of our ML team. You will oversee the architecture and development of models that help with automation and reduce dependency on manual intervention. You will also help build and oversee the development of machine learning pipelines for continuous training, evaluation, and deployment of these machine learning models.",5.0,DarkVision,North Vancouver,51 to 200 Employees,2013,Company - Private,Oil & Gas Service,"Oil, Gas, Energy & Utility",Unknown / Non-Applicable,http://www.darkvisiontech.com/
Data Science and Insights Manager,,"Express Employment Professionals, one of the top rated staffing and recruitment agencies, on behalf of their client, 7x is searching for a Data Science and Insights Manager. This is exciting opportunity to join an industry changing company. The position is available immediately and work is fully remote. Do you love the idea of turning data into a secret weapon? Do you enjoy working in a collaborative environment, where quick decision-making enables meaningful and measurable progress? Does the prospect of joining a well-funded, early-stage business, with tons of potential, excite you? Do you enjoy working in an entrepreneurial environment, where quick decision-making enables meaningful and measurable progress? Is “data science” a religion to you? Are you able to “preach the gospel” and help a team reach their full potential? If you answered yes to the questions above, then we’d love to hear from you!",4.2,7X Powered Inc.,Vancouver,51 to 200 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,http://www.7xpowered.com/
Machine Learning Engineer,,"Role: DarkVision's ultrasound imaging system collects huge datasets on the order of hundreds of gigabytes that are several kilometers long where a defect may be on the order of a few mm. It is essential that we develop algorithms for automated processing, measuring, classification and visualization of this data since manual processing is both time consuming and inconsistent. As a Machine Learning Engineer, you will be involved in researching, designing and implementing deep learning architectures that learn efficient generalizable representations for several tasks including: classification, regression, segmentation and object detection. You will report to our Director of Machine Learning and be responsible for developing machine learning pipelines for continuous training, evaluation and deployment of deep learning models. Our management process is light and generally milestone driven, using pseudo-agile sprints derived from our quarterly and yearly goals. All goals are internally generated with plenty of room for feedback.",5.0,DarkVision,North Vancouver,51 to 200 Employees,2013,Company - Private,Oil & Gas Service,"Oil, Gas, Energy & Utility",Unknown / Non-Applicable,http://www.darkvisiontech.com/
Research and Data Analyst,$75K - $96K (Employer Est.),"The Research Analyst is responsible for developing, conducting and coordinating research and data analysis projects and program evaluations on behalf of the ITA and plays a key role in translating information gained through research into strategy, policy and operational decisions. The position analyzes and synthesizes information from a variety of sources and prepares briefing notes, reports, discussion and position papers. We are looking to fulfill two (2) position openings. This is a full time, permanent role in our Strategy and Performance department. Reporting to the Manager, Performance & Analytics. RESPONSIBILITIES/ACCOUNTABILITIES Research and Analysis: Design and implement research projects; synthesize/interpret data sources to provide accurate information that meets the strategic needs of the organization · Analyze, synthesize, and apply statistical methods and models to data from a variety of sources to identify and forecast trends, impacts, potential outcomes and risks",,Industry Training Authority (ITA),Richmond,-1,-1,-1,-1,-1,-1,-1
Senior Data Analyst,,"As Canada's destination for the coolest tech, Best Buy offers one of the best work environments in the country! Annually recognized as one of Canada’s Top 100 Employers, our culture is one of inclusion, recognition, innovation, and enjoyment. At Best Buy, we are a diverse team of forward-thinking team-players with the ability to make an impact. Our voices are heard, acknowledged, and we inspire change. Our skills are nurtured, our well-being is supported, and our growth is encouraged. We are powered by passion: passion for our fields, our customers, and technology. At our head office, soon to be in beautiful Vancouver, BC, we practice a remote first working model, leveraging in person interactions for strategic, collaborative and social purposes. As a Senior Data Analyst embedded in Best Buy’s Supply Chain Technology Team, you’ll work alongside data scientists, analytics developers, software developers, and senior leaders to build analytics products to optimize our last-mile delivery network. The impact of your work will be seen by thousands of Canadian customers in the blink of an eye.",3.8,Best Buy Canada,Burnaby,10000+ Employees,1966,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),http://www.bestbuy.ca/
"Junior Data Scientist, Analytics",,"FORM (formswim.com) is a sports technology company with a simple mission: to break down the barriers between what swimming is and what it could be. We’re looking for a Junior Data Scientist to join our rapidly growing team. At FORM, you’ll help us write the rulebook on augmented reality in a new market. You’ll have the freedom to shape your role, how you own it, and how you grow with us. You’ll get to wear many hats, to coach, and to learn. And you’ll be part of an amazing and diverse group of people who love to work and play together. A Little Bit About Us Founded in 2016 in Vancouver, Canada, FORM is the sports technology company behind the FORM Smart Swim Goggles, a pair of premium swim goggles with a see-through, augmented-reality display that delivers performance metrics in real time. For the first time, swimmers using our goggles can see real-time visual feedback, with metrics like split times, distance, stroke rate, pace per 100, and calories displayed directly in the swimmer’s line of sight - in pools, open water, and swim spas.",4.9,FORM,Vancouver,51 to 200 Employees,2016,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,http://www.formswim.com/
"Technical Program Manager, Machine Learning",,"Join TuSimple and help change the way the world moves. Together we're making freight transportation safer, more efficient, and more environmentally friendly. This role is remote or in San Diego, CA. Relocation assistance is provided. For immediate consideration please email your resume to: ml__technical_program_manager_b3b0528f2us@ivy.greenhouse.io Company Overview Come join a higher calling and find a deeper purpose! As a multi-national Artificial Intelligence Technology Company, we are at the epicenter of the Autonomous Vehicle Universe. Our breakthroughs are leading the industry in autonomous trucking.",,"TuSimple, Inc.",,201 to 500 Employees,2015,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.tusimple.ai/
BI Engineer,$101K - $111K (Glassdoor Est.),"Bachelor's degree in Engineering, Statistics, Computer Science, Mathematics, or a related quantitative discipline 4+ years of work experience of analyzing and interpreting data as a business intelligence engineer, data engineer, or at a similar capacity Working knowledge of data mining and modeling using statistical software like R, Python, Matlab, etc Advanced knowledge of SQL, intermediate knowledge of Python Proficient using at least one data visualization product (Tableau, Qlik, Amazon QuickSight, Power BI, etc.) Experience working with large, multi-dimensional datasets from multiple sources Ability to work cross-functionally, building and maintaining trust with internal stakeholders AWS has the most services and more features within those services, than any other cloud provider–from infrastructure technologies like compute, storage, and databases–to emerging technologies, such as machine learning and artificial intelligence, data lakes and analytics, and Internet of Things.  AWS Platform is the glue that holds the AWS ecosystem together. Whether its Identity features such as access management and sign on, cryptography, console, builder & developer tools, and even projects like automating all of our contractual billing systems, AWS Platform is always innovating with the customer in mind. The AWS Platform team sustains over 750 million transactions per second.  AWS Financial Experience (FinX) is looking for a talented, highly motivated Business Intelligence Engineer to join our Business Intelligence team. AWS FinX powers the processing and collection of payments for the AWS Commerce Platform, and owns the end-to-end financial experience for AWS Customers. We provide the functionality for customers to purchase AWS products and services in multiple countries and currencies, using multiple payment methods, and directly impact AWS international expansion strategies, generating billions of dollars in revenue.  As a Business Intelligence Engineer, you will work in one of the world's largest and most complex data. You will work closely with Product Management, Software Development, Data Science, and other Data Engineering teams to develop scalable and innovative business intelligence solutions, and enable the FinX team to build successful, data driven strategies.  The successful candidate will be an expert with SQL, ETL (and general data wrangling), and have exemplary communication skills. The candidate will need to be comfortable with ambiguity in a fast-paced and ever-changing environment, and able to think big while paying careful attention to detail. The candidate will know and love working with business intelligence tools, can model multidimensional datasets, and can partner with customers to answer key business questions.  Key Responsibilities Our team also puts a high value on work-life balance. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here, which is why we aren’t focused on how many hours you spend at work or online. Instead, we’re happy to offer a flexible schedule so you can have a more productive and well-balanced life—both in and outside of work.  We have a formal mentor search application that lets you find a mentor that works best for you based on location, job family, job level etc. Your manager can also help you find a mentor or two, because two is better than one. In addition to formal mentors, we work and train together so that we are always learning from one another, and we celebrate and support the career progression of our team members.  Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visithttps://www.amazon.jobs/en/disability/us.",3.8,Amazon Dev Centre Canada ULC,Vancouver,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/
Data Analyst,$68K - $70K (Glassdoor Est.),"Data Analyst Remote, Canada Infor® Point of Sale (POS) is designed for full- and quick-service restaurants, and managed food services in higher education, healthcare, corporate businesses, and more. The solution enables them to optimize operations, exceed guest expectations, and increase business insight. Hospitality providers can implement a variety of options—terminal, kiosk, tableside, poolside, and beyond—to serve guests virtually anywhere. As a Data Analyst on Infor’s POS team, you will ensure data integrity and maintain a high availability environment in support of Infor client’s critical outcome for food service delivery. Additionally, you will the assist team in making better business decisions by leveraging data and in turn provide powerful business insights to our customers. A Day in The Life Typically Includes:",3.9,Infor,Vancouver,10000+ Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),http://www.infor.com/
Senior Data & Applied Scientist - Content Recommendation,,"The Microsoft News & Feeds team is looking for self-motivated and experienced data & applied scientists for the content recommendation team - a team that has the potential to define the future of content services for Microsoft. We connect 500M+ users with the content they care about, not only to help them to stay informed and entertained but also empower them to start conversations with their friends, family, and colleagues. We bring together premium publishers and the best of the web into a personalized, intelligent feed that never stops. We are available globally and across the Microsoft ecosystem, in Windows, in Edge browser, on MSN.com, or on your phone. Whether its news, sports, shopping, videos, finance, weather or eSports, we have something for everyone.  At our core is our large-scale personalized recommendation system, large scale distribution platform[JW1] , data intelligence, and immersive experiences. We are a passionate, user-focused R&D team with world-class engineers, scientists, and product managers.  In this role, you will build a large-scale personalized recommendation system scaling globally to 1B+ users. You will work on problems such as recommendation, user modeling, ranking, content diversity, natural language processing, data mining and platforms, and topic modeling. You will provide thought leadership to scientists, and engineers to deliver highly quality personalized recommendations that will engage and delight our users. You will work with teams of talented scientists, and help recruit the best scientists in machine learning, e.g. personalized recommendation, NLP, data science.",4.4,Microsoft,Vancouver,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.microsoft.com/
Machine Learning Developer (Full-time),,"Who we are: Motion Metrics International provides intelligent monitoring solutions for mining industry. It offers a suite of products to increase efficiency and safety of mining operations using cutting edge technologies in computer vision and machine learning. We are looking for a Machine Learning Developer who is passionate about solving challenging computer vision and machine learning problems in collaboration with other data scientists and developers. AI team members will be involved in various stages of algorithm development from research to production, which includes AI model development for embedded, edge and cloud environments. What you will do: Review the literature for the state-of-the-art computer vision and machine learning methodologies. Design and implement proprietary machine learning algorithms and optimize them based on runtime system requirements and constraints.",4.3,Motion Metrics International Corp.,Vancouver,51 to 200 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),http://www.motionmetrics.com/
Data Scientist II,,"Are you looking to join a tech company that can challenge and support you as you take the next step in your career? 3v Geomatics (3vG) provides a rare opportunity to be at the forefront of an emergent technology. We believe in developing everyone’s potential in a fun, passionate, and proactive environment that promotes open communication and a healthy work/life balance. We’re looking for a candidate to be a significant part of future growth because we believe the foundation of 3vG’s success is our employees. The Company 3vG is a fast-growing tech company based in Vancouver, British Columbia, which started in 2007. We employ state-of-the-art InSAR techniques to detect millimetric ground displacement using radar satellites 1000 km away. We strive to create products that will make a positive impact on people around the world.",,3v Geomatics,Vancouver,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,http://www.canaropa.com/
Fullstack Software Development Engineer (Talent Optimization Machine Learning),,"Do what you love. Love what you do.  At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. About the Team Do what you love. Love what you do. At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work. Job Description As one of our core values, we invest heavily in our people - the team hosts a diverse mix of technical talks and training events, supports travel for conferences and speaking opportunities, and cultivates career-defining work through a focus on health and wellbeing that starts with an efficient blend of work/life balance. This is a place where you can work in a fun, people-first culture that builds an environment that enables you to succeed and do your best work. Join us as we change the way millions of people work.  The Talent Optimization Machine Learning (TO ML) team at Workday is responsible for the architecture and development of the machine learning services powering a range of applications in the Human Capital Management (HCM) domain. Our work is a blend of data analysis, large-scale data processing, battle-hardened machine learning methodology, and microservice design that places craftsmanship at the forefront of everything we do. Built on a backbone of startup DNA, we operate with a high degree of autonomy and strong sense of ownership.",4.1,Workday,Vancouver,10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),http://www.workday.com/
Protein Engineer – Applied Scientist,$69K - $99K (Glassdoor Est.),"Full-timeVancouver  DECEMBER 21, 2021 Job ID: 21154 AbCellera is a young, energetic, and rapidly growing tech company with an amazing team that searches, decodes, and analyzes natural immune systems to find antibodies that its partners can develop into drugs to prevent and treat disease. We are seeking a highly motivated, independent applied scientist to support experimental design and high throughput data analysis for antibody engineering applications. We need a creative scientist who can rapidly develop new tools, understand technical challenges, and efficiently communicate complex topics. This is an excellent opportunity to join a diverse and fast-paced biotechnology company at the forefront of drug discovery.",4.9,AbCellera Biologics,Vancouver,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,http://www.abcellera.com/
"Machine Learning Engineer II, EconTech",,"Bachelor’s Degree in Computer Science or related field Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis Programming experience with at least one modern language such as Java, C++, C#, or Python including object-oriented design 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems. 2+ years of non-internship professional software development experience Experience building large-scale machine-learning models Experience with machine learning, data mining, and/or statistical analysis tools The Economics Technology team (ET) applies Machine Learning, Causal Inference, and Econometric/Economic Methodologies to derive actionable insights about the complex economy of Amazon’s retail business. We also develop Statistical Models and Algorithms to drive strategic business decisions and improve operations. We are an interdisciplinary team of Economists, Engineers, and Scientists incubating and building day one solutions using cutting-edge technology, to solve some of the toughest business problems at Amazon. This is a unique, high visibility opportunity for someone who wants to have business impact, dive deep into large-scale economic problems, enable measurable actions on the Consumer economy, and work closely with scientists and economists. If you are interested in Machine Learning, Reinforcement Learning, large-scale, low-latency distributed systems and can build the software that use the models, this is the role you have been looking for.  We are a Day 1 team, with a charter to be disruptive through the use of ML and bridge the Science and Engineering gaps that exist for engineers today. You will start on green field projects working with Principal Scientists to bring our models to life. We are an inclusive team, and are looking for SDEs that aren't averse to learning and building predictive models alongside our scientists.  We are seeking talented and experienced leaders to design, implement and deliver ML components along with high quality (e.g., secure, testable, maintainable, low-defects, efficient, etc.) software to solve complex economics problems, while independently authoring, testing and rolling-out new models in an existing system with coordination from scientists in order to generate positive feedback. You'll have the freedom (and encouragement) to experiment, improve, invent, and innovate when analyzing tradeoffs of selecting source data; building tools that accelerate the development of ML models by scientists; developing ML models using variety of ML design approaches and solid breadth of knowledge such as data processing, regression, clustering, recommendations, classification, experimentation, model optimization. You will be working closely with multiple scientists, economists, product managers and engineering leaders from ET team and partner teams in Amazon.",3.8,Amazon Dev Centre Canada ULC,Vancouver,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/
Machine Learning Engineer,,"Machine Learning Engineer (Image Processing & Computer Vision) – Permanent position in North Vancouver (Hybrid Model) On behalf of our client in North Vancouver, Ignite Technical Resources is looking for a Machine Learning Engineer (Image Processing & Computer Vision) with our client for a permanent opportunity. Role Description: Our client’s ultrasound imaging system collects huge datasets on the order of hundreds of gigabytes. It is essential to develop algorithms for automated processing, measuring, classification, and visualization of this data since manual processing is both time-consuming and inconsistent. As a Machine Learning Engineer, you will be involved in researching, designing, and implementing deep learning architectures that learn efficient generalizable representations for several tasks including classification, regression, segmentation, and object detection. You will be developing machine learning pipelines for continuous training, evaluation, and deployment of deep learning models. Responsibilities:",4.7,IgniteTechnical.com,North Vancouver,1 to 50 Employees,2005,Company - Private,Staffing & Outsourcing,Business Service,$10 to $25 million (USD),http://www.ignitetechnical.com/
Protein Engineer – Applied Scientist,,"AbCellera is a young, energetic, and rapidly growing tech company with an amazing team that searches, decodes, and analyzes natural immune systems to find antibodies that its partners can develop into drugs to prevent and treat disease. We are seeking a highly motivated, independent applied scientist to support experimental design and high throughput data analysis for antibody engineering applications. We need a creative scientist who can rapidly develop new tools, understand technical challenges, and efficiently communicate complex topics. This is an excellent opportunity to join a diverse and fast-paced biotechnology company at the forefront of drug discovery. How you might spend your days: Collaborating with data scientists and protein engineers to plan and analyze experiments evaluating novel antibody sequence engineering methods. Developing data analysis and visualization platforms to adapt novel methods for large-scale protein engineering applications.",4.9,AbCellera,Vancouver,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,http://www.abcellera.com/
"Software Development Engineer, Machine Learning",$102K - $160K (Glassdoor Est.),"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design Bachelor's degree in computer science related fields OR 1+ years equivalent experience in software development Job summary Amazon Freight (AF) is disrupting the multi-billion dollar trucking industry by building technical solutions that allow external customers to tap into the scale of Amazon's logistical network for their transportation needs.  The AF Pricing Team owns the systems and ML algorithms for generating optimal prices for each customer's transportation request.  In this team you will work closely with research scientists and engineers to apply state-of-the-art ML algorithms that learn from vast amounts of data on network topology, transportation costs, routing/transit times, industry benchmarks, and many more. You will play a key role in developing services to run these predictions on distributed systems at incredible scale and speed, generating prices that both delights our customers and is profitable to our business. You will also work closely with product managers to build applications and tools to support managing and configuring our pricing systems.  Are you seeking an environment where you can drive innovation? Does the challenge of designing large scale systems that apply state-of-the-art computer science to solve real-world problems interest you? To meet these challenges, the AF Pricing team is looking for passionate, talented, and inventive software engineers with a blend of technical, analytical, and design skills who will collaborate with other engineers, project managers, product managers, research scientists across different countries and cross-functional teams to help build out the next generation pricing solutions for Amazon Freight.  Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. If you would like to request an accommodation, please notify your Recruiter.",3.8,Amazon Dev Centre Canada ULC,Vancouver,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/
